year,openalex_id,title,source,cited_by_count,note,decision
1898,https://openalex.org/W3067626153,Bestämmelser angående stämpling av speglar,KTH Publication Database DiVA (KTH Royal Institute of Technology),0,no clear link to neural-network prehistory in title/source,ignore
1898,https://openalex.org/W4231874994,Experimental Soaring,Aeronautical journal (London England 1897),0,no clear link to neural-network prehistory in title/source,ignore
1898,https://openalex.org/W2084780583,The Evolution of the Line Signal,Transactions of the American Institute of Electrical Engineers,0,"plausible information, communication, or signalling prehistory",keep
1899,https://openalex.org/W2791602589,A production implementation of an associative array processor - STARAN,afips,25,obvious malformed/non-scholarly false hit,ignore
1899,https://openalex.org/W2181187379,"A Pattern Recognition Program That Generates, Evaluates and Adjusts its Own Operators",MIT Press eBooks,10,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2571352087,On Iterative Circuit Computers Constructed of Microelectronic Components and Systems,afips,6,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2564793610,Pattern and Character Recognition Systems-Picture Processing By Nets of Neuron-Like Elements,afips,5,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2302941850,"Linear Current Division in Resistive Areas, its Application to Computer Graphics",afips,4,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2985877426,Subjective Bayesian methods for rule-based inference systems,afips,3,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2564274155,Analysis of Perceptrons,afips,2,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2771410183,"A 10Mc NDRO BIAX Memory of 1024 Word, 48 Bit Per Word Capacity",afips,1,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2016083261,A Direct-reading Conductivity-Bridge,Proceedings of the Physical Society of London,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2561170966,A Dual Processor Checkout System,"Managing Requirements Knowledge, International Workshop on",0,obvious malformed/non-scholarly false hit,ignore
1899,https://openalex.org/W2461440189,A Hybrid Analog-Digital Pseudo-Random Noise Generator,"Managing Requirements Knowledge, International Workshop on",0,"plausible information, communication, or signalling prehistory",keep
1899,https://openalex.org/W2564339567,A New Concept in Analog Computers,afips,0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2567325734,A Precession Pattern in a Delay Line Memory,"Managing Requirements Knowledge, International Workshop on",0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2568379042,A Search Memory Subsystem for a General Purpose Computer,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2566938883,A Self-Organizing Recognition System,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2566849586,"A Suggested Model for Information Representation in a Computer That Perceives, Learns, and Reasons",afips,0,"plausible information, communication, or signalling prehistory",keep
1899,https://openalex.org/W2610608374,A Transfluxor Analog Memory Using Frequency Modulation,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2568053805,An associative processor for air traffic control,afips,0,obvious malformed/non-scholarly false hit,ignore
1899,https://openalex.org/W2561153994,An Improved Generalized Inverse Algorithm for Linear Inequalities and its Applications,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2568114220,Arranging frequency dependent data on sequential memories,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2888676089,Artificial inteIligence on personal computers,afips,0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2578563768,Associative Self-Sorting Memory,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2580105482,Comments on Learning and Adaptive Machines for Pattern Classification,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2567016355,Comments on Session on Learning Machines,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2494508228,"CONTRANS (Conceptual Thought, Random-Net Simulation)",afips,0,plausible statistical or probabilistic method prehistory,keep
1899,https://openalex.org/W2568515847,DDA Error Analysis Using Sampled Data Techniques,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2568394761,Descriptive Languages and Problem Solving,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2983903861,Design and application of electronically programmable LSI arrays,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2560884386,Design Features of Remington Rand Speed Tally,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2561910448,Experimental Investigation of Large Multilayer Linear Discriminators,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2564122499,"FOXY 2, a Transistorized Analog Memory for Functions of Two Variables",afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2808419495,Gei1eralization of Pattern Recognition in a Self-Organizing System,afips,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2575443113,High-Speed High-Capacity Photographic Memory,"Managing Requirements Knowledge, International Workshop on",0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2568196931,Hybrid Techniques for Analog Function Generation,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2561914299,Ideal Transformers in Synthesis of Analog Computers,"Managing Requirements Knowledge, International Workshop on",0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2474046846,Mathematical Applications of the Dynamic Storage Analog Computer,afips,0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W4235551411,Neural dynamics.,Psychological Review,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W3025260723,On the Value of Widal's Reaction.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2781243108,Parallel Computing With Vertical Data,afips,0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2566431971,Recursive Fast Fourier Transforms,"Managing Requirements Knowledge, International Workshop on",0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2984639329,Storage utilization in a self-organizing database,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2562196018,The Construction of an Empirically Based Mathematically Derived Classification System,afips,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W2578154281,The Electrodata Computer in a Data-Reduction System,afips,0,"plausible logic, computation, circuit, or network prehistory",keep
1899,https://openalex.org/W2074393120,The Entropy-Diagram and its Applications,Science,0,no clear link to neural-network prehistory in title/source,ignore
1899,https://openalex.org/W3006758907,The Ionisation of Dilute Solutions at the Freezing Point. [Abstract],Proceedings of the Royal Society of London Series I,0,unrelated medicine/natural science/engineering,ignore
1899,https://openalex.org/W2324174876,THE NEURON RETRACTION THEORY,The Journal of Nervous and Mental Disease,0,"plausible nervous-system, psychology, or learning prehistory",keep
1899,https://openalex.org/W2016562421,The retryable processor,afips,0,obvious malformed/non-scholarly false hit,ignore
1899,https://openalex.org/W2567053132,"Trace- Time-Shared Routines for Analysis, Classification and Evaluation",afips,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W1986274367,Diffusion of the Motor Impulse.,Psychological Review,26,"plausible nervous-system, psychology, or learning prehistory",keep
1900,https://openalex.org/W4238198380,Deductive Databases and Their Applications,,6,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W758278702,Implications of correlated neuronal noise in decision making circuits for physiology and behavior,Frontiers in Neuroscience,2,"plausible nervous-system, psychology, or learning prehistory",keep
1900,https://openalex.org/W2323278146,A Computational Model of the Interaction between Visual Perception and Conceptual Processing,Frontiers in Neuroscience,0,"plausible nervous-system, psychology, or learning prehistory",keep
1900,https://openalex.org/W2325359893,A Neural Network Model of Intraparietal Sulcus That Can Explain a Pattern of Brain Imaging Results Related to the Visual Working Memory,Frontiers in Neuroscience,0,obvious malformed/non-scholarly false hit,ignore
1900,https://openalex.org/W3119487589,A New Apparatus for Instantaneous Photo-Micrography,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1900,https://openalex.org/W4249488782,Applications of Electrical Science 1,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4252507918,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4239197339,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4239629121,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4253748804,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4233124234,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4214729589,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4229840209,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4250737758,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4254417733,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4407206641,Item Unavailable,,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W2313886883,Localisation of the components of auditory evoked brain responses simultaneously studied with MEG and EEG,Frontiers in Neuroscience,0,"plausible nervous-system, psychology, or learning prehistory",keep
1900,https://openalex.org/W361163346,MULTIDIMENSIONAL STOCHASTIC APPROXIMATION AND ITS APPLICATIONS TO DETECTION ANDESTIMATION,,0,plausible statistical or probabilistic method prehistory,keep
1900,https://openalex.org/W564847531,NONSMOOTH AND MULTIVALUED ANALYSIS WITH APPLICATIONS IN OPTIMIZATION,,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W4246125909,Photo-micrography,Nature,0,"plausible logic, computation, circuit, or network prehistory",keep
1900,https://openalex.org/W2054708385,Sull'effetto Volta,Il Nuovo Cimento,0,no clear link to neural-network prehistory in title/source,ignore
1900,https://openalex.org/W84779115,Toward a phase transition in the dynamic of thoughts,Frontiers in Behavioral Neuroscience,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4233067235,Elements of Statistics.,The Economic Journal,1,plausible statistical or probabilistic method prehistory,keep
1901,https://openalex.org/W2313277383,Removal of Any Two Terms from a Binary Quantic by Linear Transformations,American Journal of Mathematics,1,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W2022184177,Synchronism and Frequency Indication,Transactions of the American Institute of Electrical Engineers,1,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W1972175000,An Improved Method of Rating Tuning Forks,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4236766438,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4243310900,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4244969914,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4245937797,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4210814808,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4234531202,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4241762535,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4251041135,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4247391865,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4241378541,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4238350795,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4239285404,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4240277062,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4235863248,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4255536223,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4250073371,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4234563480,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4247133717,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4235956605,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4232531156,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4252309150,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4251086708,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4242640473,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4248273982,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4240215946,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4406830958,On Re-Animation after Death.,,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W4406830916,On the Animation of Lifeless Matter.,,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W1965441747,Review of The Synthetic Experiment.,Psychological Review,0,no clear link to neural-network prehistory in title/source,ignore
1901,https://openalex.org/W2735358015,"The 100-Ton Universal Testing Machine, with Variable Accumulator, at the James Watt Laboratories, Glasgow University",Proceedings of the Institution of Mechanical Engineers,0,"plausible logic, computation, circuit, or network prehistory",keep
1902,https://openalex.org/W1559227639,On the Development of Lingula anatina,Institutional Repositories DataBase (IRDB),64,unrelated medicine/natural science/engineering,ignore
1902,https://openalex.org/W1980572491,On the Development of Lingula anatina,Science,50,unrelated medicine/natural science/engineering,ignore
1902,https://openalex.org/W2801743316,On the Accuracy of the Improved Voltameter,Proceedings of the American Academy of Arts and Sciences,10,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W2065875757,Modern Machine Methods,Proceedings of the Institution of Mechanical Engineers,2,"plausible logic, computation, circuit, or network prehistory",keep
1902,https://openalex.org/W4236403723,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4240964045,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4211041520,Handbook of instructions for collectors /,,1,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W2054575265,XVI. A voltameter for small currents,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,1,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4242281168,An Elementary Treatise on Alternating Currents,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W2000803972,Book Review: Vector Analysis,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4232813503,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4233162487,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4241819488,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4231799495,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4255539583,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4242073955,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4238337343,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4246437805,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4234858148,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4252898240,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4241795151,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4231166429,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4250025246,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4206789784,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1902,https://openalex.org/W4234442738,The Meray-Rozar Electrotypographic Machine,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1902,https://openalex.org/W2072618630,"Étude De La Variation Du Décalage d'Un Courant Sur La Force èlectromotrice, en Fonction de La Capacité Du Circuit",La Houille Blanche,0,"plausible logic, computation, circuit, or network prehistory",keep
1903,https://openalex.org/W649897912,The groundwork of the Leschetizky method,Medical Entomology and Zoology,14,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W2016644186,THE FREEZING-POINTS OF DILUTE SOLUTIONS.,Journal of the American Chemical Society,10,unrelated medicine/natural science/engineering,ignore
1903,https://openalex.org/W2002902422,Arithmetic of Electrical Measurements,Science,1,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4247828793,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W2332129063,An Experimental and Practical Demonstration of the Value of Downes' Electro-Thermic Angiotribe,New England Journal of Medicine,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4241811032,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4242130715,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4251355977,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4236676041,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4229596997,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4253467596,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4233650914,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4252721665,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4253793383,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4239408762,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4243129868,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4234563972,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4250857448,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4236514957,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4238143672,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4245307168,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4211137331,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4247769730,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4250582842,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4240333536,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4246684861,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4242614313,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4245650737,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4252918574,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4249246176,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4236641566,Intelligent Estimate,Journal of Education,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W2997563509,On the Discharge of Electricity from Hot Platinum. [Abstract],RSPS,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4248617024,Review of Classification of Psychical Phenomena for Experimental Research.,Psychological Review,0,no clear link to neural-network prehistory in title/source,ignore
1903,https://openalex.org/W4255155082,Stereotyping and Electrotyping,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W2324163775,A study of the silver voltameter,Bulletin of the Bureau of Standards,2,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4242448235,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4239065455,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4239504404,Electrical Vision,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4255488603,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4210380959,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4239034581,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4255665495,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4234173385,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4239950567,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4231427268,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4249413300,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4243904419,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4234336238,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4238032846,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4240187185,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4251503800,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4238482258,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4232923362,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4213120833,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4244046642,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4243754208,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4251670029,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4250655525,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4232402917,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4232712611,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4238475346,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4229933462,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4235627961,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4242779405,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4251746140,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4235461754,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4235911020,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4245564034,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4243530039,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4205362341,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4233200234,Handbook of instructions for collectors /,,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4246796391,On the Magneto-Elastic Detector,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1904,https://openalex.org/W4230644964,Review of Quelques considérations sur la théorie du Neurone.,Psychological Bulletin,0,"plausible nervous-system, psychology, or learning prehistory",keep
1904,https://openalex.org/W2160990484,THE DOWNES ELECTRO-THERMIC ANGIOTRIBE.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W596461016,Temperature-entropy diagram,Bulletin of Miscellaneous Information (Royal Gardens Kew),52,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4236835266,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4231511308,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W3048208743,A graphical study of the alternating current. [I.],Časopis pro pěstování matematiky a fysiky,0,"plausible logic, computation, circuit, or network prehistory",keep
1905,https://openalex.org/W4239558084,A graphical study of the alternating current. [II.],Časopis pro pěstování matematiky a fysiky,0,"plausible logic, computation, circuit, or network prehistory",keep
1905,https://openalex.org/W2610009520,C. J. Herzig sampling South Blocks Mine.,,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4238241577,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4230600360,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4210294083,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
